Winter.treatment,Origin,Population,MotherID,Photo,Cocoon_number,Oviposition_date,Planned.opening.Date,Planned.opening.time,LT50.Temp,Opened.by,Actual.opening.date,Actual.opening.time,test_live,test_dead,test_total,test_ratio,control_live,control_dead,control_total,control_ratio,Notes,round,Mother_LegLength_um,MotherMeasuredBy,MotherLegLengthNotes
Estonia,Estonia,Paernu,E18-Paernu-72,n,1,01-09-18,01-05-19,0.625,-10,L. Zander,01-05-19,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,post,5497.54,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-74,n,1,16-08-18,16-04-19,0.375,-10,T. Moeller,16-04-19,0.375,10,0,10,1,10,0,10,1,NA,post,5249.2,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-74,n,2,03-09-18,03-05-19,0.375,-10,T. Moeller,03-05-19,0.375,10,0,10,1,10,0,10,1,NA,post,5249.2,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-78,n,1,07-08-18,07-04-19,0.375,-26,T. Moeller,07-04-19,0.385416667,6,4,10,0.6,10,0,10,1,NA,post,5187.3,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-78,n,2,20-08-18,20-04-19,0.625,-18,L. Zander,20-04-19,0.625,9,1,10,0.9,10,0,10,1,NA,post,5187.3,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-79,n,1,22-08-18,22-04-19,0.625,-26,M. Sheffer,22-04-19,0.645833333,1,9,10,0.1,9,1,10,0.9,NA,post,5474.07,M. Sheffer,left
France,Estonia,Paernu,E18-Paernu-80,n,1,19-08-18,19-04-19,0.375,-10,L. Zander,19-04-19,0.375,10,0,10,1,10,0,10,1, freezer -9 not -10,post,6386.62,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-80,n,2,03-09-18,03-05-19,0.375,-10,M. Sheffer,03-05-19,0.375,10,0,10,1,10,0,10,1,NA,post,6386.62,M. Sheffer,NA
France,Estonia,Paernu,E18-Paernu-81,n,1,08-08-18,09-04-19,0.625,-18,T. Moeller,09-04-19,0.625694444,10,0,10,1,8,2,10,0.8,"was planned to be E18-Paernu-38, but it was already opened",post,7042.78,M. Sheffer,NA
Estonia,Estonia,Paernu,E18-Paernu-83,n,1,20-08-18,20-04-19,0.375,-18,L. Zander,20-04-19,0.375,9,1,10,0.9,10,0,10,1,NA,post,7486.1,M. Sheffer,NA
