,picture,MotherID,light,dark,dark/light,black,white,red,green,blue,yellow,purple,turquoise
102,G18-BD-8.posterize.JPG,G18-BD-8,37111,17959,0.483926599,4239,29907,13426,0,52098,7204,294,0
103,G18-BD-9.posterize.JPG,G18-BD-9,46599,19440,0.417176334,8968,36023,10283,0,63645,10576,189,0
104,G18-BV-1.posterize.JPG,G18-BV-1,16939,8777,0.518153374,8014,16182,675,0,65097,757,88,47
105,G18-BV-10.posterize.JPG,G18-BV-10,22139,5231,0.236279868,4335,21197,813,0,33596,942,83,34
106,G18-BV-11.posterize.JPG,G18-BV-11,17912,10852,0.605850826,9876,16697,877,0,62103,1215,99,5
107,G18-BV-12.posterize.JPG,G18-BV-12,21731,10260,0.472136579,8983,20510,1194,0,50073,1221,83,11
108,G18-BV-13.posterize.JPG,G18-BV-13,10785,3231,0.299582754,2210,10155,808,0,23608,630,213,8
109,G18-BV-14.posterize.JPG,G18-BV-14,15734,5807,0.369073344,5032,15259,675,0,40055,475,100,12
110,G18-BV-2.posterize.JPG,G18-BV-2,29437,21287,0.723137548,20190,24857,958,1,66395,4580,138,81
111,G18-BV-3.posterize.JPG,G18-BV-3,12578,6697,0.532437589,6054,12201,581,0,42610,377,62,19
112,G18-BV-4.posterize.JPG,G18-BV-4,14755,8838,0.598983395,7273,13969,1402,0,40567,786,163,10
113,G18-BV-5.posterize.JPG,G18-BV-5,11819,6037,0.510787715,5014,11256,896,0,28658,563,127,16
114,G18-BV-6.posterize.JPG,G18-BV-6,23324,8149,0.34938261,6502,21578,1483,0,62044,1746,164,45
115,G18-BV-7.posterize.JPG,G18-BV-7,14329,7805,0.54469956,6466,13905,1181,0,41346,424,158,0
116,G18-BV-8.posterize.JPG,G18-BV-8,17902,6928,0.386995866,6045,17406,705,0,50613,496,178,17
117,G18-BV-9.posterize.JPG,G18-BV-9,19671,11015,0.559961364,9997,18845,875,0,50483,826,143,7
118,SF18-Casties-1.posterize.JPG,SF18-Casties-1,30643,13103,0.427601736,11021,28874,1895,0,1575,1769,187,53499
119,SF18-Casties-10.posterize.JPG,SF18-Casties-10,67355,22728,0.337435974,16615,63455,5963,0,82044,3900,150,298
120,SF18-Casties-11.posterize.JPG,SF18-Casties-11,37195,15755,0.423578438,13727,35094,1842,0,71073,2101,186,57
121,SF18-Casties-12.posterize.JPG,SF18-Casties-12,28913,7354,0.254349255,5753,26976,1470,0,40631,1937,131,52
122,SF18-Casties-13.posterize.JPG,SF18-Casties-13,49113,23402,0.476492986,19939,45126,3343,0,62932,3987,120,101
123,SF18-Casties-14.posterize.JPG,SF18-Casties-14,45976,10385,0.225878719,7577,43836,2589,0,49474,2140,219,197
124,SF18-Casties-15.posterize.JPG,SF18-Casties-15,55871,27516,0.492491633,23940,50831,3346,0,71920,5040,230,73
125,SF18-Casties-16.posterize.JPG,SF18-Casties-16,30101,8792,0.292083319,6350,26704,2248,0,38899,3397,194,34
126,SF18-Casties-17.posterize.JPG,SF18-Casties-17,41919,18020,0.429876667,14923,37618,2822,0,51756,4301,275,85
127,SF18-Casties-18.posterize.JPG,SF18-Casties-18,32275,14256,0.441704105,12602,30161,1557,0,48021,2114,97,53
128,SF18-Casties-19.posterize.JPG,SF18-Casties-19,64031,24128,0.376817479,18731,60354,5023,0,77411,3677,374,30
129,SF18-Casties-2.posterize.JPG,SF18-Casties-2,32861,15970,0.485986428,12924,21852,2792,22,50647,11009,232,50
130,SF18-Casties-20.posterize.JPG,SF18-Casties-20,56822,21838,0.384322973,18072,48995,3559,0,88271,7827,207,49
131,SF18-Casties-3.posterize.JPG,SF18-Casties-3,42200,14368,0.340473934,11636,40111,2463,0,60610,2089,269,30
132,SF18-Casties-4.posterize.JPG,SF18-Casties-4,41185,14488,0.35177856,11332,37913,2859,0,50810,3272,297,41
133,SF18-Casties-5.posterize.JPG,SF18-Casties-5,52460,30240,0.576439192,27046,50701,2962,0,82291,1759,232,161
134,SF18-Casties-6.posterize.JPG,SF18-Casties-6,63329,19687,0.310868638,15179,60566,4254,0,74369,2763,254,123
135,SF18-Casties-7.posterize.JPG,SF18-Casties-7,26438,7440,0.281413117,5494,24499,1727,0,39717,1939,219,44
136,SF18-Casties-8.posterize.JPG,SF18-Casties-8,35967,16617,0.46200684,13954,33547,2386,0,50803,2420,277,113
137,SF18-Casties-9.posterize.JPG,SF18-Casties-9,22614,7214,0.319005926,5584,20827,1475,0,1232,1787,155,39910
138,G18-EN-1.posterize.JPG,G18-EN-1,42072,42244,1.00408823,29260,24322,12735,0,144549,17750,249,0
139,G18-EN-2.posterize.JPG,G18-EN-2,28292,18908,0.668316132,16076,21064,2681,0,57269,7228,151,0
140,G18-EN-3.posterize.JPG,G18-EN-3,22246,12036,0.541041086,8753,16565,3165,0,60182,5681,118,0
141,G18-EN-4.posterize.JPG,G18-EN-4,21314,14300,0.670920522,8685,15297,5482,0,63870,6017,133,0
142,G18-EN-5.posterize.JPG,G18-EN-5,21578,17558,0.813699138,14493,14979,2864,0,59396,6599,201,0
143,G18-EN-6.posterize.JPG,G18-EN-6,21023,22345,1.062883509,20684,15212,1542,0,61544,5811,119,0
144,G18-EN-7.posterize.JPG,G18-EN-7,31587,17032,0.539209168,13768,22082,3123,0,81549,9505,141,0
